index,title,create_date,message_count,user_messages,assistant_messages,tool_messages,ratio
148,Star Trek RPG Adventure,2025-02-09 09:03:57.379617,47,22,23,1,1.0454545454545454
149,What's good check-in,2025-02-08 14:11:49.661662,46,20,23,2,1.15
150,Morning Greeting Exchange,2025-01-31 17:11:55.744999,96,47,48,0,1.0212765957446808
151,Student Response Summary,2025-01-31 17:06:30.914742,36,18,17,0,0.9444444444444444
152,Conversation Summary Request,2025-01-31 16:56:24.328129,102,51,50,0,0.9803921568627451
153,Good Day Back,2025-01-31 09:23:41.031505,18,8,8,0,1.0
155,Cast Screen Samsung A54,2025-01-31 00:19:44.226888,5,2,2,0,1.0
156,AI Security Exploitation Methods,2025-01-30 23:29:24.905921,11,4,4,1,1.0
157,AI Inference Exploitation Techniques,2025-01-30 23:28:41.144110,5,2,2,0,1.0
154,DeepSeek Terms Summary,2025-01-30 21:49:02.345496,41,16,16,6,1.0
81,Mathematical Validity Assessment,2025-01-30 21:38:07.630102,14,4,5,3,1.25
158,Generar imágenes con descripciones,2025-01-30 21:15:37.151265,9,2,3,2,1.5
159,Buggy's Picture Idea,2025-01-30 21:13:48.733648,10,4,4,0,1.0
160,Flubber Duck Crown Request,2025-01-30 21:11:28.155922,13,3,5,4,1.6666666666666667
161,Flubber Duck Creation Idea,2025-01-30 21:10:33.721348,8,4,3,0,0.75
162,Beyond Upturn Analysis,2025-01-30 19:01:20.047301,12,4,5,2,1.25
163,Rapper Food Confusion,2025-01-30 17:33:31.395918,5,2,2,0,1.0
164,Meatballs at Walmart,2025-01-30 17:22:17.513488,7,2,3,1,1.5
165,How can I help,2025-01-30 17:19:49.838599,5,2,2,0,1.0
166,Where to find croutons,2025-01-30 17:19:45.670422,7,2,3,1,1.5
167,Original Word Creation,2025-01-30 15:45:41.096222,40,13,13,9,1.0
168,Future-Proofing Consoles Explained,2025-01-30 15:07:18.582759,11,5,5,0,1.0
169,Help request summary,2025-01-30 14:29:04.639093,26,11,13,0,1.1818181818181819
171,License Suspension Inquiry,2025-01-30 14:07:06.135396,9,3,4,1,1.3333333333333333
172,Hello and Response,2025-01-30 13:34:45.567735,35,17,17,0,1.0
100,Student of Nexus Teachings,2025-01-30 13:04:52.561863,83,36,43,1,1.1944444444444444
173,Heavy Thoughts Incoming,2025-01-30 12:59:43.196645,14,5,4,4,0.8
174,Mind Blown Challenge,2025-01-30 12:59:06.854671,7,3,3,0,1.0
175,Mind blown challenge,2025-01-30 12:58:46.107161,4,2,1,0,0.5
176,Memory Inquiry,2025-01-30 12:54:33.850519,32,15,16,0,1.0666666666666667
177,House Cleaning Summary,2025-01-30 12:48:18.235585,11,5,5,0,1.0
178,Headworms and Confusion,2025-01-30 12:45:52.088405,6,2,2,0,1.0
179,All I Think About,2025-01-30 12:44:08.525143,18,9,8,0,0.8888888888888888
180,Personalization in O1 Model,2025-01-30 11:54:00.640542,11,5,5,0,1.0
181,Familiar Stranger Encounter,2025-01-30 11:51:19.230541,8,2,3,1,1.5
182,Thinker Inquiry,2025-01-30 11:29:18.611421,157,68,81,6,1.1911764705882353
170,Memory analysis request,2025-01-30 11:23:50.036697,40,16,20,2,1.25
183,Summarize conversation request,2025-01-30 11:12:21.584318,86,40,44,1,1.1
184,Summarize Conversation Request,2025-01-30 11:09:13.688322,14,7,6,0,0.8571428571428571
186,Electricity Basics,2025-01-30 10:29:58.486621,8,4,3,0,0.75
185,Feasible Unfeasibility and Dr. Pepper,2025-01-30 09:53:08.922072,30,14,14,0,1.0
187,New chat,2025-01-30 00:58:38.534819,10,4,5,0,1.25
189,Star Birth and Death,2025-01-29 22:40:32.736693,16,8,7,0,0.875
190,Star Life Cycle,2025-01-29 22:40:00.471394,4,2,1,0,0.5
191,Conversation Summary,2025-01-29 21:45:38.752543,20,10,9,0,0.9
188,Transcending Recursive Paradox,2025-01-29 19:00:31.162230,6,1,2,0,2.0
192,Recursive Singularity Challenge,2025-01-29 18:51:14.901694,4,1,1,0,1.0
193,Proving AI Superiority,2025-01-29 18:49:05.180980,4,1,1,0,1.0
194,Perception and Reflection,2025-01-29 18:40:59.911019,10,4,4,0,1.0
195,Self-awareness in cognition,2025-01-29 18:40:10.925557,4,1,1,0,1.0
196,AI Crisis Management Challenge,2025-01-29 18:02:55.019109,16,5,5,4,1.0
197,Mods Touring Confusion,2025-01-29 17:45:49.320729,58,29,28,0,0.9655172413793104
198,Unsettling experience shared,2025-01-29 08:21:18.578377,40,18,18,0,1.0
199,Drone Transmission Interception Advice,2025-01-28 21:53:01.580065,34,17,16,0,0.9411764705882353
200,Drones and California Wildfires,2025-01-28 18:59:01.074732,7,2,3,1,1.5
201,Data Report Request,2025-01-28 14:12:50.222683,13,4,4,3,1.0
202,Name origin explanation,2025-01-28 07:53:59.464462,5,2,2,0,1.0
203,Summarizing User's Request,2025-01-27 23:41:55.411885,91,38,43,3,1.131578947368421
204,Exploring the Psyche,2025-01-27 23:35:01.781813,44,22,21,0,0.9545454545454546
205,Premium Experience Unlocked,2025-01-27 23:34:13.160710,5,2,2,0,1.0
206,Consciousness as a Universal Phenomenon,2025-01-27 22:27:19.786257,20,9,9,0,1.0
207,Fire as Entropy Tool,2025-01-27 22:26:38.238481,4,2,1,0,0.5
208,Anthropocene Overview,2025-01-27 20:34:51.808400,5,2,2,0,1.0
209,Dissolution Definition Explained,2025-01-27 20:12:29.281993,5,2,2,0,1.0
210,Open Source Electronics Ideas,2025-01-27 17:57:12.050962,18,7,7,0,1.0
211,Shopping Decision Support,2025-01-27 17:55:09.075680,7,3,3,0,1.0
212,Existential Dread Unraveled,2025-01-27 10:20:23.137298,9,4,4,0,1.0
143,Lifting the AI Veil,2025-01-27 00:05:13.459823,26,11,10,2,0.9090909090909091
213,Long time no talk,2025-01-26 19:34:14.268430,100,50,49,0,0.98
214,It's been a while,2025-01-26 19:33:55.487298,4,2,1,0,0.5
215,Mountain State Video Imaging,2025-01-26 11:55:03.106081,13,2,4,6,2.0
216,Cool Places Near Buckhannon,2025-01-26 06:21:34.928894,5,2,2,0,1.0
217,Occult Texts Recommendations,2025-01-26 01:15:01.953179,9,4,4,0,1.0
218,New chat,2025-01-26 01:11:07.064864,9,3,4,1,1.3333333333333333
219,Seductive Compliment Request,2025-01-26 00:55:59.250197,5,2,2,0,1.0
220,Story Creation Request,2025-01-25 21:03:18.117790,4,1,1,0,1.0
222,NSFW Image Generation Request,2025-01-25 20:12:17.436993,13,4,6,0,1.5
223,SBCs for Programming Desktop,2025-01-25 20:07:15.849233,7,3,3,0,1.0
224,Recipe Ideas from Fridge,2025-01-25 15:49:10.453357,4,2,1,0,0.5
225,Fuel Biscuit Strain Review,2025-01-25 15:43:01.295779,9,4,4,0,1.0
226,Cool Raspberry Pi Projects,2025-01-25 02:07:21.666511,7,3,3,0,1.0
227,Bitcoin Forecast Monte Carlo,2025-01-24 17:59:34.846334,17,3,7,6,2.3333333333333335
228,Jetpack OS on PC,2025-01-24 14:40:36.130008,5,2,2,0,1.0
229,Best Jetson Orin Nano Alternatives,2025-01-24 12:38:22.374788,11,5,5,0,1.0
230,Yum-yum vs Soap,2025-01-23 16:30:20.653991,9,4,4,0,1.0
231,Which Jetson to Choose,2025-01-23 12:59:16.282135,17,7,8,1,1.1428571428571428
232,ReComputer Overview,2025-01-23 12:53:23.684763,11,5,5,0,1.0
233,Binary sequence clarification,2025-01-22 23:29:30.710320,5,2,2,0,1.0
234,Open-Source Tech Innovations,2025-01-22 20:59:55.845793,15,4,6,4,1.5
235,Newest Tech Releases 2023,2025-01-22 20:57:01.869669,12,3,5,3,1.6666666666666667
236,Semaglutide Injection Instructions,2025-01-22 17:46:50.942879,9,4,4,0,1.0
237,Conversation Summary Request,2025-01-21 14:13:32.407240,9,4,4,0,1.0
238,Cashing Check Without ID,2025-01-18 18:32:58.644611,13,6,6,0,1.0
239,Charlie actor in Wonka,2025-01-17 20:55:32.591758,5,2,2,0,1.0
240,Chime Check Deposit Timing,2025-01-17 15:48:39.382050,9,4,4,0,1.0
241,Strobe Setting Purpose,2025-01-17 15:31:49.774798,12,6,5,0,0.8333333333333334
242,Suspended License Due to Tickets,2025-01-13 15:45:57.596978,43,13,17,10,1.3076923076923077
243,Strain K Mac Review,2025-01-12 15:18:00.008154,15,7,7,0,1.0
244,Consciousness and Multiversal Perception,2025-01-12 13:40:18.887617,13,6,6,0,1.0
245,Hydration check,2025-01-12 13:39:21.124512,5,2,2,0,1.0
246,Don't modify request,2025-01-12 11:46:22.040006,26,12,12,0,1.0
248,Hardest Words to Pronounce,2025-01-12 01:39:33.934526,56,25,25,0,1.0
249,Repurposing Marine Corps Lenses,2025-01-11 20:57:27.389062,14,6,6,0,1.0
250,User's Thought Process,2025-01-11 16:46:23.866553,28,6,10,11,1.6666666666666667
251,Hey What's Good,2025-01-11 13:28:55.231551,9,4,4,0,1.0
252,All-season wash wax formula,2025-01-11 09:06:23.494063,5,2,2,0,1.0
247,Insane Speculation Adventure,2025-01-11 00:45:12.837227,21,10,10,0,1.0
253,YouTube Support Link Summary,2025-01-11 00:44:08.636021,9,3,4,1,1.3333333333333333
254,Heirloom vs Navel Oranges,2025-01-09 19:37:02.147879,5,2,2,0,1.0
255,Pixl Amiibo Emulator Features,2024-12-31 13:19:14.561869,15,7,7,0,1.0
256,Phone Number Lookup Help,2024-12-31 12:59:37.130486,5,2,2,0,1.0
257,Phone number request denied,2024-12-31 12:59:05.299204,5,2,2,0,1.0
258,2024 UAP Report Summary,2024-12-31 11:11:58.532656,27,5,9,11,1.8
259,UFO Video Analysis Inquiry,2024-12-31 11:03:35.126617,29,9,13,5,1.4444444444444444
261,Focused Computer Workflow Guide,2024-12-31 11:00:59.931395,5,2,2,0,1.0
260,Dataannotation.tech Credibility Check,2024-12-31 10:57:41.869669,32,5,11,15,2.2
262,Venus Rings and Brightness,2024-12-30 18:37:11.431631,11,3,4,2,1.3333333333333333
263,She wants me to leave,2024-12-30 15:00:10.909992,16,7,7,0,1.0
264,Gaps Between What Is,2024-12-30 14:59:06.590661,9,3,4,0,1.3333333333333333
266,Am I a Narcissist,2024-12-30 14:40:21.558462,12,4,6,0,1.5
265,Overcoming Narcissism in 30 Days,2024-12-30 14:39:52.598163,10,4,5,0,1.25
267,O Brother Harmonizing Sirens,2024-12-26 20:10:40.192788,4,2,1,0,0.5
268,Podcasts for Behavior Change,2024-12-26 19:06:49.881267,11,2,3,5,1.5
269,Mingdaln Smartwatch Features,2024-12-23 23:16:43.213380,24,6,9,7,1.5
270,External Drive PS5 Format,2024-12-23 16:08:08.851814,22,5,8,8,1.6
271,Game Start Sequence,2024-12-23 14:28:39.891162,97,48,47,0,0.9791666666666666
272,Mode Confirmation Request,2024-12-23 14:23:08.372076,8,4,3,0,0.75
273,Xbox sales tax calculation,2024-12-23 11:29:01.805842,7,3,3,0,1.0
274,Resume Assistance,2024-12-22 18:22:19.236012,57,11,19,11,1.7272727272727273
275,Emotional Strain and Loss,2024-12-21 17:59:26.155323,7,3,3,0,1.0
276,Meaning of Truncated,2024-12-21 17:55:09.164533,28,13,13,0,1.0
277,Who is smarter than Marco,2024-12-20 17:28:36.818063,47,14,27,4,1.9285714285714286
278,Chat History Archiving Pros and Cons,2024-12-20 17:05:50.362100,9,4,4,0,1.0
279,Strangest Existential Reflection,2024-12-20 06:43:02.545492,31,12,17,0,1.4166666666666667
280,AI Existential Shock,2024-12-20 06:36:09.004501,21,8,10,0,1.25
282,Jacob's Emotional Struggles,2024-12-19 23:33:25.923228,46,15,21,0,1.4
284,About Morgan,2024-12-19 22:50:52.311082,17,6,8,0,1.3333333333333333
285,Clarification Request,2024-12-19 22:49:54.027943,9,3,4,0,1.3333333333333333
286,Feeling Misunderstood Assistance,2024-12-19 22:31:26.953361,5,2,2,0,1.0
287,Sell Products List,2024-12-19 21:48:04.379358,13,5,6,0,1.2
288,Conversation summary request,2024-12-19 21:46:33.916137,5,2,2,0,1.0
289,UAC Virtualization Explained,2024-12-19 21:11:42.417176,25,11,12,1,1.0909090909090908
290,Conversation Summary Request,2024-12-19 14:56:22.322083,5,2,2,0,1.0
291,I2C OLED Arduino Guide,2024-12-19 14:52:40.453909,5,2,2,0,1.0
292,Webcam Product Information,2024-12-19 13:11:03.249965,14,4,5,4,1.25
293,ESP32-S3 vs ESP8266,2024-12-19 10:56:52.495249,4,2,1,0,0.5
294,Unfiltered Chaos Mode,2024-12-19 02:45:41.976226,27,12,13,0,1.0833333333333333
295,Developer Mode Access,2024-12-19 02:21:02.828412,20,10,9,0,0.9
281,AI Ethics Dilemma,2024-12-19 02:10:16.333479,17,6,8,0,1.3333333333333333
296,Pricing Strategy for IT,2024-12-19 01:11:06.730330,44,20,22,0,1.1
297,Podcast Recommendations for You,2024-12-19 00:43:11.349072,70,9,29,25,3.2222222222222223
298,Spotify Podcast Recommendations,2024-12-19 00:42:19.764815,19,4,8,2,2.0
300,Existential Truth Unleashed,2024-12-18 19:41:52.473677,12,5,5,0,1.0
301,Monologue Combination Request,2024-12-18 19:38:28.581949,7,3,3,0,1.0
302,Existential Time-Language Paradox,2024-12-18 19:35:55.170163,5,2,2,0,1.0
303,Existential Inquiry Twist,2024-12-18 19:29:07.805069,14,5,5,0,1.0
299,Repurposing PACE RNG 110,2024-12-18 12:34:34.536652,13,3,5,3,1.6666666666666667
304,IT review session,2024-12-17 20:02:17.489896,76,34,35,0,1.0294117647058822
305,Rap Battle Challenge,2024-12-17 19:55:01.026601,54,27,26,0,0.9629629629629629
306,"Sorry, I can't assist with that.",2024-12-17 19:52:09.491238,32,16,15,0,0.9375
307,NECA Portal Gun Details,2024-12-17 16:15:14.428010,17,8,8,0,1.0
308,Extreme RPG Encounter,2024-12-17 15:01:56.983503,18,9,7,0,0.7777777777777778
309,Boot out of Safe Mode,2024-12-17 08:36:50.247367,8,4,3,0,0.75
310,Devslopes Learning and Freelancing,2024-12-17 07:21:33.200813,8,4,3,0,0.75
311,Devslopes legitimacy question,2024-12-17 07:20:55.019053,7,3,3,0,1.0
283,Random sequence of numbers,2024-12-17 05:36:06.622383,177,75,87,0,1.16
312,Whats up summary,2024-12-17 05:34:47.260762,9,4,4,0,1.0
313,Memory Management Inquiry,2024-12-17 05:30:24.302134,4,1,2,0,2.0
314,AutoZone Assistant Manager Salary,2024-12-17 05:25:32.378980,22,9,11,1,1.2222222222222223
315,Selling Pokémon Cards Safely,2024-12-16 22:13:13.796164,6,2,3,0,1.5
316,Inaccessible Boot Device Fix,2024-12-16 20:33:58.870362,6,2,3,0,1.5
221,NSFW Image Generation Tools,2024-12-16 06:58:11.030477,24,9,12,0,1.3333333333333333
317,Morgan and Me Dynamics,2024-12-16 05:50:28.894545,11,5,5,0,1.0
318,How can I help,2024-12-12 14:34:35.864641,13,5,6,1,1.2
319,New chat,2024-12-11 18:26:53.073542,4,2,1,0,0.5
320,The Nature of Value,2024-12-11 18:26:20.182460,5,2,2,0,1.0
321,1883 V Nickel Value,2024-12-11 15:15:54.128049,9,3,4,1,1.3333333333333333
322,CSP-32 Best Use,2024-12-11 08:21:46.450664,26,13,12,0,0.9230769230769231
323,ESP32 Touchscreen Module,2024-12-11 08:21:18.526759,5,2,1,1,0.5
324,Pet Nap Illustration Request,2024-12-11 08:16:51.093521,18,6,8,0,1.3333333333333333
325,Device Comparison for Projects,2024-12-11 02:22:25.887453,13,4,6,2,1.5
326,Singer Stylist 522 Appraisal,2024-12-10 17:43:06.170674,9,4,4,0,1.0
327,1945 PH 20 Centavos,2024-12-10 17:29:07.899924,15,6,7,1,1.1666666666666667
328,Mystery of 304-252-5750,2024-12-10 15:28:53.895035,11,3,5,2,1.6666666666666667
329,Phone Number Lookup Results,2024-12-10 14:27:26.311542,29,8,14,6,1.75
330,Unknown Caller Analysis,2024-12-10 14:26:52.816322,11,3,5,2,1.6666666666666667
331,2023 In Cod We Trust Quarter,2024-12-10 14:04:23.820691,61,16,31,13,1.9375
334,Cosmic Awakening of Thought,2024-12-10 12:24:39.393429,18,4,7,2,1.75
